Name,Type,Ownership,Sub-ownership,Eco-region,District
Bhawani HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Bhiman HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Bhimdhunga HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Bhimeshwor HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Bhimgithe HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Bhimkhori HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Bhimpokhara HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Bhimsthan HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Bhirgaun HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Bhirkot HP Manakamana,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Bhirkot HP TANAHU,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Bhirpani HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Bhirul HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Bhoje HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bhoksing HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bhorle HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bhorle HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bhorletar HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bhoteoodar HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bhujee HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Bhujung HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bhuktangle HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bhulbhule HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bhulke HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Bhumesthan HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Bhumeswor HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Bhumiraj HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Bhumirajmandau HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Bhumlichok HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Bhumlutar HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Bhumrasuwa HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Bhumrasuwa HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Bhur HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Bhurtung HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Bhurtung HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Bhurung Tatopani HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Bhussinga HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Bhutar HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Bhuwan Pokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Bhuwaneshori Gwaltar HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Bichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Bichautari Chautara HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Bidyapur HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Bigutar HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Bihadi Ranipani HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bihadibarachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Bihi HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Bihunkot HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Bijaura HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Bijayakharka HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Bijayapur HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Bijuli HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Bijulikot HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Bilandu HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Bima HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Binamare HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Binayak HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Bindhyabasini HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Birbas HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Birgha HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Birkot HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Birpath HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Birtadeurali HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Biruwa HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Bisalla HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Bisalpur HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Bisankhunarayan HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Bisukharka HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Bitalawapipaltari HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
BitijorBagaiya HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Bode HP,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Bodhe HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Boharagaun HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Bokhim HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Boldefediche HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Bongadovan HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Borlang HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Bowang HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Boya HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Budagaun HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Budanilkantha HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Budhabare HP Budhabare,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Budhakhani HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Budhakot HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Budhasing HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Budhathum HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Budhichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Budhimorang HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Buipa HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Bukhel HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Bumiraj HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Bungamati HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Bungtang HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Bunkot HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Chafamandu HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Chainpur (Salbas) HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Chakratirtha HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Chalal Ganeshsthan HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Chalsa HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Chamita HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Champadevi HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Champe HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Chamunda HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Chanakhu HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Chandanpur HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Chande HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Chandeni Mandan HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Chandibhanjyang HP Chandi Bhanjyang,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Chandika HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Chandikalika HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Chandisthan HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Chanuwa HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Chapagaun HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Chapakot HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Chapakot HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Chapali Bhadrakali HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Chappani HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Chapre HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Charambi HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Charghare HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Chaturale HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Chaudandi HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Chaughada HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Chaukham HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Chaukidada HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Chauratha HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Chauri Pokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Chaurjahari HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Chauthe HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Chawarachautara HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Chhahara HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Chhaimale HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Chhaling HP,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Chhampi HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Chhangchhangdi HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Chhap HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Chhapahile HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Chhapali HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Chhatedhunga HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Chhatiwan HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Chhatraganj HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Chhatre Dyaurali HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Chhayachhetra HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Chhekempar HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Chhimkeshwori HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Chhinamakhu HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Chhinchu HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Chhintang HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Chhipchhipe HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Chhisti HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Chhita Pokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Chhiwang HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Chhoprak HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Chhorambu HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Chidika HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Chidipani HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Chilaune HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Chilaunebas HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Chilingdin HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Chimkhola HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Chinnebas HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Chipring HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Chipur HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Chirtung Dhara HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Chisankhu HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Chisapani HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Chisapani HP RAMECHHAP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Chitapol HP,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Chithubihar HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Chitithala HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Chitlang HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Chitre Bhanjyang HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Chitre HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Chokchisapani HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Chokhawang HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Chokmagu HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Choubas HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Choughare HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Chovar HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Chuchure HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Chuhandanda HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Chulachuli HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Chunchet HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Chungmang HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Chunikhel HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Chunja HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Chunwang HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Churiyamai HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Chuwa HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Chyamrang Besi HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Chyanam HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Chyandada HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Chyangli HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Chyangre HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Chyangthapu HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Chyasing Kharka HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Chyasmitar HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
